Index,Name,Overall_Rating,Cuisine,Rate for two,City,Review
0,Oliver Brown,3.9,"Cafe, Coffee, Shake, Juices, Beverages, Waffle, Desserts, Ice Cream",500,ahmedabad,"Been to this place 3-4 times. Prakash is always very sweet and accommodating. Plus always ask Vaibhav to make your shakes, they are perfect!!"
1,Oliver Brown,3.9,"Cafe, Coffee, Shake, Juices, Beverages, Waffle, Desserts, Ice Cream",500,ahmedabad,"I recently visited Oliver Brown on a weekend for a cup of iced coffee, and I was thoroughly impressed. The ambience was inviting, the seating comfortable, and the service top-notch. I had the pleasure of trying their iced coffee and dark hot chocolate, both of which were absolutely delicious. It's an excellent place overall, and I'm already looking forward to my next visit"
2,Crush Coffee,3,"Cafe, Shake, Beverages, Desserts",600,ahmedabad,Very watery ans thin shake
3,The Mohalla,3.8,Cafe,550,ahmedabad,it was not cheese burst pizza.. only cheeze was on the top.. not happy with the pizza sent made today
4,The Mohalla,3.8,Cafe,550,ahmedabad,"Yammi.,....test burger is best I love 💗 this BergerAnd fry is also missing 😂Love ❤️ you ........"
5,The Shaka Cafe,4.3,"North Indian, Pizza, Asian, Chinese, Cafe, Desserts, Beverages","1,200",ahmedabad,"food was not spicy , which I was told to restorant on call and instructions. "
6,The Shaka Cafe,4.3,"North Indian, Pizza, Asian, Chinese, Cafe, Desserts, Beverages","1,200",ahmedabad,Punjabi Thali is great. The taste was good and paratha was the star. The reason simple being provided instead of maida made Naan. So overall mindful serving to customer and liked it
7,Hobnob Bistro,3.7,"North Indian, Cafe, Italian, Chinese, Desserts, Shake, Beverages","1,000",ahmedabad,The owner didn't let us sit in the AC though it was not at all reserved. We already had booked our table priorly then also he didn't give us the AC table to sit. He said that you should call us and book the AC table but no one ever picks the call at all. 
8,Mleko,4.8,"Cafe, Coffee, Bakery, Fast Food, Continental, Desserts, Beverages",800,ahmedabad,Both coffees were spilled and the box of pasta was opened up with coffee in the pastaWe need the money back since the items were completely inedible.i wish i had negative stars
9,Kaffee - Mast Hai,4.1,"Cafe, Pasta, Burger, Sandwich, Pizza, Wraps, Desserts, Beverages","1,200",ahmedabad,washroom was not available. had to use mall's security guard's washroom
10,Kaffee - Mast Hai,4.1,"Cafe, Pasta, Burger, Sandwich, Pizza, Wraps, Desserts, Beverages","1,200",ahmedabad,waiters denied to serve the food
11,Kaffee - Mast Hai,4.1,"Cafe, Pasta, Burger, Sandwich, Pizza, Wraps, Desserts, Beverages","1,200",ahmedabad,not tasty today food 
12,Unlocked,4,"Cafe, Fast Food, North Indian, Chinese, Desserts, Beverages, Italian","1,200",ahmedabad,potion size has reduced. quality of food is nice 
13,Caffix - The Tech Cafe,3.9,"Cafe, Sandwich, Italian, Continental, Oriental, Salad, Desserts, Beverages","1,000",ahmedabad,Zomato shows 15% off on dining bill and the owner says we can offer 15% discount only if the bill is a minimum of Rs. 1000. Zomato doesn't mention any such thing but these guys have their own rules.What a joke! Customer banne se pehle hi customer tut gaya. 
14,Caffix - The Tech Cafe,3.9,"Cafe, Sandwich, Italian, Continental, Oriental, Salad, Desserts, Beverages","1,000",ahmedabad,"I received the delivery 15 minutes late, but it was worth👍👍"
15,Novelchef Cafe & Lounge,4.2,"Cafe, Continental, Italian, Fast Food, Desserts, Beverages",950,ahmedabad,"Tried a new quiet amazing place after quite some time and I’ll just say that I LOVED IT. Food, ambience and Anurag Pandey ji ki service aaayyhayyyhayyhayyy 🫶🏻 maza aa gaya 🎉"
16,Gamysticafe,4.2,"Cafe, Beverages, Sandwich, Fast Food, Mexican, Chinese, Desserts, Shake",950,ahmedabad,New concept of the cafe is quiet appealing that’s game+foodLike the food here Have visited this cafe several times Previously it used to b so much chaotic which was a minus point but now I think that is managed Every item v ordered here so far is yummy so far no complaints They have recently made changes in menu which I think is trouble becoz very short menu by far but I would appreciate that they manage to make a whole wheat paratha in place of all purpose flour in their combos Secondly their Mexican Buddha bowl is so yum
17,Gamysticafe,4.2,"Cafe, Beverages, Sandwich, Fast Food, Mexican, Chinese, Desserts, Shake",950,ahmedabad,"okay-ish cafe, only go here if you're interest in video games and have a large friend group. I had kitkat shake, it turned out, again, okay."
18,Xero Degrees,4,"Cafe, Italian, Continental, Mexican, Fast Food, Beverages",950,ahmedabad,Drooling Food 😋🤤Most #Instagrammable Cafe of #Ahmedabad@xerodegrees_india What I have tried Here ✅Cheesy margarita pizzaMango mint coolerCheese balls friesF.R.I.E.N.D sliders Nutella oreo shakeDo visit this Place with your friends & Family !
19,Xero Degrees,4,"Cafe, Italian, Continental, Mexican, Fast Food, Beverages",950,ahmedabad,"Favourite place for hangout with friends nearby SBRLove there Fries, Mocktail’s & shakes Best 6 items to try out at here 💌- Peri Peri Cheesy Fries 💜- Makhni Paneer Heart Shape Pizza 💙- American Cheese Burger 🖤- Friends Sliders 💛- Kwi Coolers 💚- Choco Brownie Freak shake 🤎Xero Degrees is a casual fast food cafe serving American cuisine 💙Ultimate destination for finger-licking food ✅"
